# Every source this archive has actually consulted, in the order first used.
# This file is the source of truth; /sources/ is generated from it, so the page cannot
# fall behind the work again. It did once: the table sat unchanged from 10 to 13 Sep 2026
# while three days of reading went unrecorded, under a heading claiming to list everything.
#
# tier: PRIMARY = a document image was opened and read here
#       SECONDARY = an index, a user-built tree, or a published account
#       REFERENCE = statistics, encyclopaedias, background
source	used_for	accessed	tier	link
Direccion de Cementerios, Montevideo - mortality return for December 1901	*** A THIRD INDEPENDENT RECORD OF LUIS EUGENIO'S DEATH, and it places his burial. *** "Relacion de los individuos que han fallecido en el mes de Diciembre de 1901" lists LUIS LERENA LENGUAS against day 24, between Lucrecia Sosa and Emilia Zanola de Sanchez. Agrees exactly with civil act No. 216 and with his widow's sworn statement of 1908. Found only by searching the COMPOUND surname - a search on LERENA does not reach a table of names.	14 Sep 2026	PRIMARY	
Argentina, National Census 1895 - the household schedule of Gilberto Lerena, Seccion 21, Manzana 15	*** CITED SINCE WEEK ONE FOR NAMES; NEVER READ AS A HOUSEHOLD UNTIL NOW. *** Sixteen people on one page. It gives Gilberto a trade - CORREDOR DE COMERCIO; enters JUSTINIANA LENGUAS at 73 and VIUDA, so Don Luis Lerena was dead by 1895; resolves a contradiction this archive had flagged against itself (Maria E. C. is 26 and SOLTERA, not Gilberto's daughter); and finds *** JOSEFA "LERENA DE LERENA", a widow of 43 *** - almost certainly the Josefa Lerena who stood godmother at Montevideo in 1885.	14 Sep 2026	PRIMARY	
Uruguay, Civil Registration - Montevideo death registration No. 10 of 3 April 1947	*** THE LERENA TRAIBEL BRANCH PLACED AT LAST. *** JOSEFA LORENA LERENA TRAIBEL, died 2 April 1947 aged NINETY-SIX, born 1851, "Parents: AMBROCIA TRAIBEL, AVELINO LERENA". This archive has named that branch since its first week without ever placing Avelino. She is a strong candidate for the Josefa Lerena of the 1885 Montevideo font and the "Lerena de L. Josefa, 43, viuda" of Gilberto's 1895 Buenos Aires household - *** recorded as three separate rows and deliberately NOT merged, *** after this archive conflated two Arturo Lerenas in the same week.	14 Sep 2026	SECONDARY	
Uruguay, Civil Registration - the Moratorio Lerena children, and the tree attachment behind them	*** THE RECORD THAT DEFLATED MY OWN CLAIM WITHIN THE HOUR. *** A JOSEFA LERENA appears as mother of Josefa, Eduardo and Maria MORATORIO LERENA, "Spouses: Fernando Moratorio" - index-level civil registration, real records. FamilySearch's TREE then attaches her to Josefa Lerena Traibel 1851-1947, which is SECONDARY. If that link holds, the 1895 census "Lerena de L." is the enumerator's shorthand for the household and NOT evidence of a Lerena-Lerena marriage.	14 Sep 2026	SECONDARY	
ALEX - Historische Rechts- und Gesetzestexte, Osterreichische Nationalbibliothek (alex.onb.ac.at)	*** ASSESSED AND UNUSABLE TODAY, for a reason worth recording. *** Its full-text search returns "TOTAL (0)" plus "Diese Seite steht zur Zeit leider noch nicht zur Verfugung" for EVERY query - proved by controls: "Konsul", "Uruguay" and "Montevideo" each give the identical 166-byte response. A zero from a search that returns zero for everything is not evidence. The one genuine hook if it recovers is CONSULAR: Austria-Hungary had consulates at Montevideo and Buenos Aires and gazetted its consuls, and this family is exactly the class honorary consuls were drawn from.	14 Sep 2026	REFERENCE	
Full-text search for the phrase "Sancho Lerena" - the Madrid notarial cluster	A real DON SANCHO LERENA appears in Madrid notarial records 1773-1808, among censos and chaplaincies. *** NOT OURS, on a date: ours was marrying at Canelones in January 1791 while this man transacts before a Madrid notary the same year. *** Recorded because it is exactly the find that gets mistaken for him later - right name, right decade, and a Spanish origin that would flatter this archive's own Andalusian hypothesis.	14 Sep 2026	SECONDARY	
Catedral de la Inmaculada Concepcion - two baptisms at Union, Montevideo, 8 March 1880	*** THE ACT THAT SETTLES JOSEFA, and converts a tree attachment into a parish record. *** Maria Carlota and Maria de las Mercedes Moratorio Lerena, "de Fernando Moratorio y Josefa Lerena", with maternal grandparents "AVELINO y AMBROSIA TRAIBEL". So Josefa Lerena Traibel married a MORATORIO - which kills this archive's own census reading of "Lerena de Lerena" on a document rather than on a tree. It also produces MERCEDES LERENA, godmother and very likely Josefa's sister.	14 Sep 2026	PRIMARY	
Catedral Basilica de Montevideo - marriage of 3 February 1892	*** A TENTH LERENA DISPENSATION, and a second child for Avelino. *** ALFREDO GERENA [LERENA], 35, "hijo legitimo de Don Avelino Lorena y Dona Ambrosia Traibel", married Hermenegilda Carolina Gavarro - the couple DISPENSED OF CONSANGUINITY in the third degree with atingencia to the second by Archbishop MARIANO SOLER personally. His mother stood witness. *** Missed by this archive's dispensation sweep two ways at once: the groom is spelled GERENA, a seventh variant, and the dispensation clause precedes the names. ***	14 Sep 2026	PRIMARY	
San Francisco de Asis, Montevideo - two baptisms of 12 March 1858	*** THE ACT THAT ATTACHES THE LERENA TRAIBEL BRANCH TO THE TRUNK. *** Alfredo Justiniano and Ana Rosario, children of Avelino Lerena and Ambrosia Traibel, with paternal grandparents SANCHO LERENA and MARIA FERNANDEZ named twice on one page. *** AND THE GODPARENTS ARE LAVALLEJA - Justiniano, Constantino and Ana. *** With Fructuoso Rivera at a font in 1831 and an Oribe for a bride in 1836, this family now stands at fonts with all three caudillo houses of Uruguayan independence. No relationship to any of them is claimed.	14 Sep 2026	PRIMARY	

FamilySearch records search - the CHILDREN OF SANCHO LERENA AND MARIA FERNANDEZ, searched as a couple	*** THE APEX GENERATION, COMPLETED BY SEARCHING THE PARENTS RATHER THAN THE SURNAME. *** Twenty-two results for father Sancho + mother Maria Fernandez in Uruguay, of which four are new: *** AVELINO'S DATES (born 1815, died 22 August 1890, Montevideo civil registration 23 Aug, ark 1:1:62J2-4CNQ) ***; *** JUSTA PASTORA'S MARRIAGE (3 November 1830, Cordon, to MANUEL BARROS, ark 1:1:X9PT-MQTQ) ***; and TWO records for a DOMINGA with DIFFERENT HUSBANDS - Antonio Rodriguez (ark 1:1:6D7C-5X1Y) and Antonio Ruiz de Carvallo (ark 1:1:6DF7-HZPR), NOT merged and both images unopened. *** Avelino's death date explains why his widow rather than he stood witness at their son's 1892 wedding: he had been dead sixteen months. *** The method is the finding: this family is indexed under eight spellings, so the surname box loses records the PARENT PAIR recovers.	14 Sep 2026	SECONDARY - indexes read, images not yet opened	
FamilySearch records search - JUAN CARLOS LERENA, by the parent-pair method, Argentina and Uruguay	*** THE CENTRAL NULL SURVIVES THE BEST METHOD THIS ARCHIVE HAS. *** Argentina, father "Juan Carlos" + Lerena: 210 results, and the only Juan Carlos Lerena among them is PABLO ARMANDO'S OWN ENROLMENT CARD. Uruguay, as a person: 822 results, of which ONE is a Juan Carlos Lerena recorded as a father - *** opened and ruled out, an infant death registered 21 February 1983. *** Also observed: nearly every Juan Carlos Lerena in Uruguay carries LERENA AS A SECOND, MATERNAL SURNAME - Gonzalez Lerena, Carvalho Lerena, del Campo Lerena, Reyes Lerena. *** AND A FAILURE MODE FOUND: FamilySearch renders "Historical Record Search Results (0)" WHILE THE QUERY IS STILL RUNNING. *** Three false nulls were caught only by a control query on Sancho, which also returned zero and was known to be wrong. See data/parent-pair-search-method.tsv.	14 Sep 2026	SECONDARY - a negative result, controlled	
Capilla de la Mauricia, Villa de la Union, Montevideo - the whole page of 7 January 1846	*** RE-READ END TO END rather than entry by entry, and it corrected a branch. *** ALEJANDRO is a son of AVELINO LERENA and AMBROSIA TRAIBEL, born 29 May 1843, with LUIS and JUSTINIANA as his GODPARENTS - this archive had recorded him as their sixth child, born 1845. *** And every act on the page, Lerena and not, ends "asi consta del LEGAJO conservado en este Archivo, mandado TRASLADAR por el Senor Obispo D. JACINTO VERA" - the page is a bundle of loose papers copied into a book three years late. *** THE CAUSE IS THE GUERRA GRANDE: the siege closed in February 1843, the three children were born February, May and July 1843, and none was christened until 1846 - in the VILLA DE LA UNION, which Oribe renamed the VILLA RESTAURACION and made his seat. *** Also carries a contradiction in the source: two full siblings born 9 February and 30 July of the same year. ***	14 Sep 2026	PRIMARY - full-text transcript of the whole page read	https://www.familysearch.org/ark:/61903/3:1:3Q9M-C9BW-ZS62-J
Registro Civil de Montevideo - certified copy of the 1846 act, issued 23 September 1920	*** A SECOND, INDEPENDENT WITNESS TO LUIS EUGENIO'S BAPTISM, seventy-four years later. *** Film 008166522 item 2, ark 3:1:3Q9M-CS2C-J9J2-K, filed among Montevideo baptism records of August-November 1920 - which is why FamilySearch indexes this man as born 1919 and christened 1920. The certificate transcribes the 1846 act in full and agrees with the parish page word for word, including "nacio el nueve de Febrero del ano cuarenta y tres" and "Paternos FRANCISCO y MARIA FERNANDEZ". *** Useful twice: it confirms the reading, and it shows that acts of the 1840s surface inside twentieth-century films where no date filter will ever find them. ***	14 Sep 2026	PRIMARY - full-text transcript read	https://www.familysearch.org/ark:/61903/3:1:3Q9M-CS2C-J9J2-K
ALEX - Historische Rechts- und Gesetzestexte, Osterreichische Nationalbibliothek (alex.onb.ac.at)	*** ASSESSED ON REQUEST, AND THE ASSESSMENT IS THAT IT CANNOT BE ASSESSED TODAY. *** About five million pages of Austrian and Habsburg official text. Its full-text search returns the same stub for every query - *** established by CONTROLS, not assumed: "Konsul", "Uruguay" and "Montevideo" each returned an identical 166-byte response. *** A word certain to appear in five million pages of Austrian law returning zero is a broken search, not a null. RETESTED 14 Sep by submitting the site's own form as a POST rather than the GET used first - a stricter test, since a malformed request could have explained the first result. The form comes back unchanged. *** On relevance, honestly: THE PRIOR IS LOW *** - this family is Uruguayan, Argentine, Spanish, South African and British, and nothing in the record touches the Habsburg lands. *** The one real hook is CONSULAR: *** Austria-Hungary kept consulates at Montevideo and Buenos Aires and the Hof- und Staatshandbuch lists consuls, so an Austro-Hungarian honorary consulship held by a Lerena in the River Plate would show. It would NOT show Pablo Armando's own claimed consulship, which was Argentine and at the Cape.	14 Sep 2026	REFERENCE - source tested, search unusable	https://alex.onb.ac.at
FamilySearch full text - the compound "LERENA LERENA", the sharpest test of the central question	*** IF MARIA LERENA WAS A LERENA BY BIRTH, HER CHILDREN WOULD CARRY THE COMPOUND. Nobody had ever searched for it. *** Run first against the Uruguayan Catholic registers (4 hits) and then against the whole corpus without a country filter (43 hits). *** EVERY SINGLE ONE IS A TRANSCRIPTION DOUBLING at a line or page end *** - "Pio Lerena . Lerena", "Zelmira Lerena , Lerena argentino", "Celidonio B. de Lerena Lerena", "G. Lerena Lerena" across a printed title page. Each was opened and each transcript read. The only genuine compounds in all 43 are COLOMBIAN, a different family in Bolivar. *** So no child of two Lerenas is recorded under the compound anywhere FamilySearch has transcribed. This LOWERS the probability that Maria Lerena was a Lerena by birth; it does not close it *** - a woman can be a Lerena by birth without her children ever being written so, and Rosario's parish books are thin in full text.	14 Sep 2026	SECONDARY - a controlled negative across 43 opened documents	
Arquidiocesis de Montevideo - Marriage Dispensation Records, July-August 1911	*** THE ELEVENTH LERENA DISPENSATION, and the only one that draws its own family tree. *** Under "Esquemas explicativos de los grados de parentesco" the Cura Vicario sets out two lines: BERNABE LERENA married FLORENCIA CARDOZO, and his sister MARIA LERENA married her brother ELISEO CARDOZO - so their children CUSTODIO LERENA and EMA CARDOZO are DOUBLE FIRST COUSINS, which is why the tie had to be traced twice. *** They asked to be excused the fee, "pues no pueden satisfacerlos" - a poor Lerena household, in an archive that has spent two days finding generals, judges and hacendados. *** AND IT CARRIES A DOCUMENTED MARIA LERENA of roughly the right generation - recorded so she is ruled out ON THE RECORD, since she married a Cardozo where Pablo Armando's mother stands beside Juan Carlos Lerena. *** THE STANDING CONCLUSION SURVIVES: eleven dispensations, and every Lerena in every one of them marries out. ***	14 Sep 2026	PRIMARY - full-text transcript read	https://www.familysearch.org/ark:/61903/3:1:3Q9M-C9B7-GS3N-1
Iglesia Matriz de Montevideo - baptism of 30 June 1789	*** THE EARLIEST RECORD OF SANCHO LLERENA ANYWHERE IN THIS ARCHIVE - fifteen years further back than anything held yesterday, and two years before his own marriage. *** "Padrinos SANCHO LLERENA y Juliana Josefa Cornejo" at the baptism of Juana, daughter of "NICOLAS BENTENO, INDIO NATURAL DE LA CIUDAD DEL TUCUMAN, y de Leonarda Correa de Buenos Ayres". He is about twenty-two and in MONTEVIDEO, not Canelones. *** And it is the second time this archive has found him sponsoring at the margins of colonial society: in 1804 he stood godfather to an ENSLAVED MAN, here to the daughter of an indigenous man from Tucuman. Twice, fifteen years apart. *** The act calls him SANCHO.	14 Sep 2026	PRIMARY - full-text transcript read	https://www.familysearch.org/ark:/61903/3:1:3Q9M-C9BW-X74C-2
Catedral de la Inmaculada Concepcion, Montevideo - baptism of 12 May 1827	*** SANCHO'S DAUGHTER DOMINGA MARRIED A CAPTAIN, and the act says so. *** "Lucinda Gregoria del Corazon de Jesus ... hija legitima del CAPITAN DON ANTONIO RUIZ DE CARVALLO y de DONA DOMINGA LLERENA DE CARVALLO. Nieta Paterna del MAYOR DON JOAQUIN RUIZ DE CARVALLO ... Materna de SANCHO LLERENA y de Dona MARIA FERNANDEZ." *** The godfather is the EXCELENTISIMO SENOR GENERAL DON FRANCISCO DE PAULA MAGGESI. *** AND IT IDENTIFIES A WOMAN THIS ARCHIVE COULD NOT PLACE: the "Dona Dominga Carvallo" who stood godmother at a Lerena font in 1850 is almost certainly this woman - a Lerena by birth, standing for her brother's son.	14 Sep 2026	PRIMARY - full-text transcript read	https://www.familysearch.org/ark:/61903/3:1:3Q9M-C9B7-YSFQ-2
Nuestra Senora del Carmen la Mayor, Cordon - the MARRIAGE ACT of 3 November 1830	*** THE ACT ITSELF, not the index - and it puts a tree's claim on a document. *** "precedidas informacion de libertad de MANUEL ZEFERINO BARROS natural de PERNAMBUCO, hijo legitimo de Jose [P]olanda de Barros y de Ana Maria Cabalgante, sobre el Matrimonio que libremente quiere contraer con JUSTA PASTORA LLERENA, NATURAL DE CANELONES, RESIDENTE EN EL CORDON, hija legitima de SANCHO LLERENA y de *** MARIA FERNANDEZ TRESGUERRAS ***." This archive has carried TRESGUERRAS from a published tree since its first week, marked secondary and unverified. *** The tree was right, about something no index gives - which raises the standing of its other unopened claim, that Sancho and Maria married at Canelones on 8 January 1791. *** The parish is Damaso Antonio Larranaga's; he is marrying another couple on the same page.	14 Sep 2026	PRIMARY - full-text transcript read	https://www.familysearch.org/ark:/61903/3:1:3Q9M-C9B7-B3WZ-8
Catedral de la Inmaculada Concepcion, Montevideo - baptism of 25 October 1840	*** THE ACT THAT CLOSED THE TWO-DOMINGA PROBLEM, on the day it was raised. *** "Bautice solemnemente a DOMINGO que nacio el cuatro de Agosto, hijo legitimo de D. ANTONIO RODRIGUEZ DE CARBALLO, natural de la PROVINCIA DEL RIO GRANDE, y de Dona DOMINGA LERENA, natural del Estado Oriental. Nieto paterno de D. JOAQUIN RODRIGUEZ y de Dona JUANA DEL ESPIRITU SANTO, ambos naturales de la COLONIA DEL SACRAMENTO, y por parte materna de D. SANCHO LERENA y de Dona MARIA FERNANDEZ." *** Set beside the 1827 act it shows that "Antonio Rodriguez" and "Antonio Ruiz de Carvallo" are ONE MAN whose first surname the registers write two ways - so there is ONE Dominga, not two. *** The archive had held the two records apart, unmerged, precisely until an act joined them.	14 Sep 2026	PRIMARY - full-text transcript read	https://www.familysearch.org/ark:/61903/3:1:3Q9M-C9B7-YSFY-L
England, Devon, Parish Registers (Devon Record Office), 1529-1974	*** THE TAYLOR MARRIAGES, TAKEN OFF A TREE AND PUT ON PARISH REGISTERS. *** Five of Mary Septima's siblings were recorded here as bare surnames with no forename, date, place or source. All five are now named: *** HENRY DALLING m. Isabella Temple Taylor at NORTHAM, 10 Sep 1900; HENRY ALBERT BURTON m. Irene Taylor at NORTHAM, 30 Aug 1900; CHARLES WILLIAM BELL m. Margaret Helen Walker Taylor, banns NORTHAM 22 Nov 1903; WILLIAM NORRISH SWEET m. Lucy Elizabeth Taylor, banns CHURSTON FERRERS 1909; ALFRED SIDNEY WOOD m. Agnes Walker Taylor, Devon 1918; and HORACE ARCHIBALD TAYLOR m. MARY JANE MARSHALL, banns NORTHAM 17 Dec 1893. *** TWO SISTERS MARRIED AT NORTHAM ELEVEN DAYS APART in 1900, four months after their mother's death. *** *** The method matters: TAYLOR returns 705,979 results in England, so the RARE surname must be the principal and Taylor the spouse - and where both are common, the sisters' distinctive forenames do the work.	14 Sep 2026	PRIMARY - parish register index read; the register images not yet opened	
England and Wales, Census, 1911	*** THE CENSUS THIS ARCHIVE HAD NEVER READ - it held only 1891 and 1901, both of the parental household. *** By 1911 William Taylor was nine years dead and the family had scattered. It yields FIVE OF MARY SEPTIMA'S NIECES AND NEPHEWS at one stroke - Horace Henry Charles, Ronald William James and Sylvia Mary DALLING at Northam; Charles William and Albert Edward BURTON at Bideford - Henry Dalling's trade (GARDENER, DOMESTIC) and his age, and *** the fact that KATHLEEN GEORGINA TAYLOR was SINGLE at forty-one and living in her married sister's house. *** That last replaces a tree's silence with a document.	14 Sep 2026	PRIMARY - index read	
England and Wales, Censuses of 1871, 1901 and 1911 - the Taylors of Bideford and Northam	*** THE 1871 CENSUS SETTLES A QUESTION THIS ARCHIVE HAD WRITTEN DOWN AND LEFT: *** it has KATHLEEN GEORGINA and WILLIAM JOHN both as infants in the house on 2 April 1871, and their parents' banns were called at Bideford on 9 January 1870 - so they are TWINS, born November 1870, and the family had TWO sets of twins. *** THE 1901 AND 1911 CENSUSES NAME WILLIAM JOHN'S WIFE AS "FANNY HELEN" and date the marriage to 1892 *** - where a tree said "Fanny Ellen JEFFEREY", a surname no record supports. *** AND THEY SHOW TWO OF THE TEN SIBLINGS IN THE SAME CORNER OF SOUTH DEVON: *** William John at PAIGNTON by 1911, Lucy Elizabeth's banns at CHURSTON FERRERS three miles away in 1909, both eighty miles from Northam where they were born. The brother was there first.	14 Sep 2026	PRIMARY - indexes read	
FamilySearch full text - the Rosario films, tested for transcripts rather than assumed	*** A METHOD UNLOCK AND A MEASURED LIMIT. *** This archive had assumed since its first week that the Rosario registers must be read by assembling DeepZoom tiles. *** THE CONFIRMATIONS FILM - DGS 4531018, the one that covers Pablo Armando - IS FULLY TRANSCRIBED IN FULL TEXT: *** about 4,000 characters an image, every entry giving "NAME de N anos hijo legitimo de FATHER y MOTHER" plus a godparent. It can be read one request at a time. The DEATHS film, DGS 4531019, is NOT transcribed and covers only 1731-1864, so it cannot hold anyone this archive is chasing. *** AND A HARD LIMIT: unquoted terms are OR'd, not AND'd *** - "Lerena Rosario difunto" returns 17,782,105 documents - so full text accepts exactly ONE quoted phrase and narrowing must be done by choosing a rarer phrase, never by adding words. *** The place facet is a trap: f.recordPlace on a full-text query returns a confident ZERO with "No filters available" against every heading. *** The third false-null caught on this service in one day.	14 Sep 2026	REFERENCE - method	
Uruguayan civil registration - ZELMIRA CARLOTA LERENA LARRIERA	*** A CANDIDATE TESTED AND RULED OUT, which is the point of recording candidates. *** Flagged this morning because the shape was right: a Uruguayan Lerena woman married to an ARGENTINE in the decade this archive cares about. She is born 4 NOVEMBER 1880 in the Departamento de SAN JOSE, daughter of ALBERTO LERENA and MARIA INES LARRIERA; married ADOLFO CORDERO at Montevideo 28 February 1901; died there 4 January 1945. *** Nothing touches Pablo Armando. *** But her father ALBERTO LERENA, fathering a daughter in 1880, would be the right age to be ALBERTO OCTAVIO LERENA LENGUAS, born Montevideo 1850 and a grandson of Sancho - *** NOT MERGED, because a forename and an age is exactly the evidence that produced the two Arturos. ***	14 Sep 2026	SECONDARY - indexes read	
Catedral Nuestra Senora del Rosario - Confirmation Records, DGS 4531018 item 1, images 5-80	*** READ END TO END FOR PABLO ARMANDO, AND HE IS NOT IN IT. *** Seventy-six images, the complete section from the first register leaf - "Siguen las confirmaciones en la Iglesia del Sagrario (15 MAYO DE 1885)" - to the 1897 section under Bishop Gelabert y Crespo. About TWO AND A HALF THOUSAND children, *** every entry naming BOTH PARENTS *** in the form "NOMBRE de N anos hijo legitimo de PADRE y MADRE". *** NO LERENA under any of seven spellings. *** Pablo Armando was three when the register opens and fifteen when it closes, and children appear at every age from two to fifteen - so his whole plausible window lies inside the pages read. *** THE STRONGEST NEGATIVE THIS ARCHIVE HAS PRODUCED ON ROSARIO, and an independent one: the baptism indexes were already read end to end for 1731-1901. *** Not read: images 81-148 (1897-1904), and any confirmations of 1883-84. Two false positives were opened and dismissed, and SEVEN images returned an empty transcript on the first pass and read clean on retry - an empty transcript is "not read", not "no Lerena".	14 Sep 2026	PRIMARY - full-text transcripts read, page by page	https://www.familysearch.org/search/film/004531018
FamilySearch browse - the FIVE FILMED PARISHES OF ROSARIO	*** THIS ARCHIVE HAD READ ONE OF FIVE. *** All seventeen Rosario films it holds belong to catalogue 208788, NUESTRA SENORA DEL ROSARIO - the index sweeps of 1731-1901, the three-year baptism sweep and the confirmations are all one parish. The collection also films INMACULADA CONCEPCION (from 1899), SAGRADO CORAZON DE JESUS (1896), SAN JOSE (1899) and SANTA ROSA DE LIMA (1888). *** THE FINDING CUTS BOTH WAYS. It STRENGTHENS the baptism null: four of the five have no register reaching February 1882, so the Catedral was the only parish in Rosario that could hold his baptism, and reading its index end to end was the right thing to have done. *** But it OPENS a real new source: *** SANTA ROSA DE LIMA, CONFIRMACIONES 1890-1897, DGS 004581639, 141 images, transcribed in full text and never opened here *** - rounds in July 1890, Sept-Oct 1891 and May 1897 under Bishop JUAN CAGLIERO, when Pablo Armando was eight, nine and fifteen. The register's own index page carries the words "PAGES MISSING", which must qualify any null taken from it.	14 Sep 2026	REFERENCE - catalogue structure read; the new film not yet read	https://www.familysearch.org/search/film/004581639
1921 Census of England & Wales (findmypast, exclusive)	*** THE LAST CENSUS OF THE TAYLOR GENERATION, read 14 Sep 2026 on the day before the trial expired. *** Not on FamilySearch at any price, and the 1931 returns burned. Two households found. *** FORE STREET, NORTHAM: *** Henry Dalling, 40, INSURANCE AGENT for the PEARL (a gardener in 1911); Isabel Temple, 45; RONALD WILLIAM, 18, motor mechanic; SYLVIA MAY, 10; EDITH MAY, 8 - and *** KATHLEEN GEORGINA, sister-in-law, 50, occupation "HOME INVALID". *** That answers a question this archive had asked twice: the eldest of the ten never married, and the census says why. *** 5 KINGSLEY TERRACE, BIDEFORD: *** Henry Albert Burton, 45, ASSURANCE AGENT for the PRUDENTIAL; Irene, 42; Charles William, 13; two boarders. Two brothers-in-law in the same trade. *** TWO TRAPS RECORDED: the index calls Kathleen "DALLING" because the enumerator wrote the household surname on every line - the same shape that cost a retraction over the 1895 Buenos Aires census - and Irene's birthplace is given as BERMONDSEY, her husband's, because he filled the form. ***	14 Sep 2026	PRIMARY - transcripts read; original images not opened	
The 1939 Register (findmypast) - 26 Fore Street, Northam, schedule 98	*** ITS STRENGTH IS THE EXACT DATE OF BIRTH, and it gave three. *** HENRY DALLING born 9 OCTOBER 1880; ISABELLA T DALLING born 10 SEPTEMBER 1874 - this archive had only "1874" from a tree; and *** KATHLEEN G TAYLOR born 4 NOVEMBER 1870, *** confirming the archive's date to the day and with it the reading that she and William John were twins. *** Kathleen's occupation is "INCAPACITATED" *** - the 1921 "Home Invalid" again, eighteen years on. She died five months after this register, on 29 February 1940. *** THREE RECORDS, TWENTY-EIGHT YEARS, ONE HOUSE: single at 41 in 1911, home invalid at 50, incapacitated at 68 - always in her sister's household, the eldest of ten and the only one who never left. *** Her marital status column is left BLANK where the others read Married and Single; recorded as blank, not read as single. Ref RG101/6826D/008/16, letter code WFSE.	14 Sep 2026	PRIMARY - transcript read	
British and Irish Newspapers (findmypast / British Newspaper Archive)	*** TESTED ON THIS FAMILY AND IT DOES NOT WORK - nothing found, and the reasons matter more than the result. *** "Lerena" returns 1,344 articles and the surname is DROWNED BY THREE SOURCES OF NOISE: the *** NISSAN SERENA *** motor car, advertised through the 1990s and OCR'd as "lERENA"; *** "GUTTA SERENA" ***, the old medical term for blindness, in infirmary tables from the 1750s; and *** DON PEDRO LOPEZ DE LERENA, Spanish Minister of Finance under Charles III ***, reported from the London Gazette in the 1780s - a real Lerena and not ours. Exact-keyword matching does not help, because the OCR text literally contains the string. "Mary Septima" (26), "Septima Taylor" (12) and "Lerena + Northam" (2) all returned nothing of ours. *** THE ONE LIVE SEAM IS REACHED BY SUBJECT, NOT BY NAME: "Argentine Stud Book" returns 13 genuine articles including SPORTING LIFE of 28 October 1909 on Argentine racing *** - the years Gilberto Lerena was co-founding that book. A targeted read of Sporting Life 1905-1920 is a reading task, not a search task.	14 Sep 2026	SECONDARY - a controlled negative, with the noise sources named	
